project,article,granularity,timestamp,access,agent,views,week_ending_date,show
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061400,mobile-web,user,384,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061500,mobile-web,user,289,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061600,mobile-web,user,254,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061700,mobile-web,user,308,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061800,mobile-web,user,266,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061900,mobile-web,user,260,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021062000,mobile-web,user,286,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061400,desktop,user,172,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061500,desktop,user,143,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061600,desktop,user,130,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061700,desktop,user,172,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061800,desktop,user,136,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061900,desktop,user,129,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021062000,desktop,user,114,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061400,mobile-app,user,14,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061500,mobile-app,user,15,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061600,mobile-app,user,19,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061700,mobile-app,user,24,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061800,mobile-app,user,14,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021061900,mobile-app,user,16,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Adventures_of_Ozzie_and_Harriet,daily,2021062000,mobile-app,user,17,2021-06-20,The Adventures of Ozzie and Harriet
en.wikipedia,The_Baby-Sitters_Club_(1990_TV_series),daily,2021061400,mobile-web,user,26,2021-06-20,The Baby-Sitters Club
en.wikipedia,The_Baby-Sitters_Club_(1990_TV_series),daily,2021061500,mobile-web,user,29,2021-06-20,The Baby-Sitters Club
